物料编码,物料名称,规格,供应商,交期(周),计划到货日期,单源供应商(是/否),单价(美元),用量,备注
MTL-001,TIA,400G PAM4 Linear TIA,供应商A,16,2026-06-15,是,12.5,1,长交期
MTL-002,Driver,400G Silicon Photonics Driver,供应商B,12,2026-06-01,是,18.0,1,
MTL-003,DSP,7nm 400G DSP,供应商C,20,2026-07-10,是,15.8,1,关键物料，占总成本35%
MTL-004,PCB,High-speed multilayer,供应商D,6,2026-05-25,否,8.2,1,
MTL-005,光器件(ROSA),400G LR4 ROSA,供应商E,14,2026-06-10,是,22.0,1,
MTL-006,光器件(TOSA),400G LR4 TOSA,供应商E,14,2026-06-10,是,25.0,1,
MTL-007,连接器,QSFP-DD Connector,供应商F,8,2026-05-30,否,3.5,1,
MTL-008,EEPROM,SPI EEPROM 2Mb,供应商G,10,2026-06-05,否,1.2,1,
MTL-009,晶体振荡器,156.25MHz TCXO,供应商H,8,2026-05-28,否,2.8,1,
MTL-010,电源芯片,3.3V/1.8V LDO,供应商I,6,2026-05-22,否,1.5,2,
